Time,Title,Authors,Type,Content
,Project
Fields of Research,Testing and safety analysis of connected and autonomous vehicles,
Contribution to project ,Using conformance testing to assess the safety of autonomous vehicle controllers, Mohammad Mousavi
Fields of Research, Software engineering| Automated software testing| Search-based software engineering,
Contribution to project ,Academic support, Jose MIguel Rojas
Fields of Research,Software testing| Model-Based Testing| Active Model Learning| Software Product Lines
Contribution to project ,Using adaptive learning to improve behavioral models, Diego Damasceno
